title,artist,genre,year,bpm,dur
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,215
Under Control,Calvin Harris,dance pop,2013,126,184
Everybody Talks,Neon Trees,indie pop,2013,155,177
Hold On  We're Going Home,Drake,canadian hip hop,2013,100,228
Best Song Ever,One Direction,boy band,2013,118,200
Kiss You,One Direction,boy band,2013,90,183
Sweet Nothing (feat. Florence Welch,Calvin Harris,dance pop,2013,128,213
Lose Yourself to Dance,Daft Punk,electro,2013,100,354
Work Bitch,Britney Spears,dance pop,2013,128,248
Brave,Sara Bareilles,acoustic pop,2013,185,221
Can't Hold Us (feat. Ray Dalton,Macklemore & Ryan Lewis,dance pop,2013,146,258
Feel This Moment (feat. Christina Aguilera,Pitbull,dance pop,2013,136,230
Beneath Your Beautiful,Labrinth,pop,2013,84,272
Let Me Love You (Until You Learn To Love Yourself,Ne-Yo,dance pop,2013,125,252
Thrift Shop (feat. Wanz,Macklemore & Ryan Lewis,dance pop,2013,95,236
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,215
The Way,Ariana Grande,dance pop,2013,82,227
Suit & Tie,Justin Timberlake,dance pop,2013,102,326
#thatPOWER,will.i.am,dance pop,2013,128,280
I Love It (feat. Charli XCX,Icona Pop,candy pop,2013,126,157
Play Hard (feat. Ne-Yo & Akon - New Edit,David Guetta,dance pop,2013,130,209
Daylight,Maroon 5,pop,2013,120,225
Love Somebody,Maroon 5,pop,2013,120,230
A Little Party Never Killed Nobody (All We Got,Fergie,dance pop,2013,130,241
Move,Little Mix,dance pop,2013,121,224
Walks Like Rihanna,The Wanted,boy band,2013,126,202
Rock N Roll,Avril Lavigne,canadian pop,2013,184,207
Heartbreaker,Justin Bieber,canadian pop,2013,105,263
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,277
Next To Me,Emeli Sand,dance pop,2013,95,197
Made In The USA,Demi Lovato,dance pop,2013,87,196
Clown,Emeli Sand,dance pop,2013,130,221
Girl On Fire (feat. Nicki Minaj - Inferno Version,Alicia Keys,hip pop,2013,93,271
TKO,Justin Timberlake,dance pop,2013,138,424
Come & Get It,Selena Gomez,dance pop,2013,80,232
Live It Up,Jennifer Lopez,dance pop,2013,128,244
We Own The Night,The Wanted,boy band,2013,104,206
Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013,136,236
What About Love,Austin Mahone,dance pop,2013,100,203
Take Back the Night,Justin Timberlake,dance pop,2013,107,353
Applause,Lady Gaga,dance pop,2013,140,212
Anything Could Happen,Ellie Goulding,dance pop,2013,103,286
Finally Found You,Enrique Iglesias,dance pop,2013,128,221
Pom Poms,Jonas Brothers,boy band,2013,148,198
#Beautiful,Mariah Carey,dance pop,2013,107,200
How Ya Doin'? (feat. Missy Elliott,Little Mix,dance pop,2013,201,211
Crazy Kids (feat. will.i.am,Kesha,dance pop,2013,128,229
Ooh La La (from The Smurfs 2,Britney Spears,dance pop,2013,128,257
People Like Us,Kelly Clarkson,dance pop,2013,128,259
Overdose,Ciara,dance pop,2013,107,227
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,186
Give It 2 U,Robin Thicke,dance pop,2013,127,230
Foolish Games,Jewel,alaska indie,2013,132,250
Outta Nowhere (feat. Danny Mercer,Pitbull,dance pop,2013,95,207
Freak,Kelly Rowland,atl hip hop,2013,104,274
All of Me,John Legend,neo mellow,2014,120,270
Stay With Me,Sam Smith,pop,2014,84,173
Summer,Calvin Harris,dance pop,2014,128,223
Happy - From Despicable Me 2,Pharrell Williams,dance pop,2014,160,233
Rude,MAGIC!,pop,2014,144,225
Shake It Off,Taylor Swift,pop,2014,160,219
Dark Horse,Katy Perry,dance pop,2014,132,216
Hey Brother,Avicii,big room,2014,125,255
Maps,Maroon 5,pop,2014,120,190
Treasure,Bruno Mars,pop,2014,116,179
Let Her Go,Passenger,folk-pop,2014,75,253
Problem,Ariana Grande,dance pop,2014,103,194
Pompeii,Bastille,metropopolis,2014,127,214
Team,Lorde,art pop,2014,100,193
Love Me Again,John Newman,pop,2014,126,240
Latch,Disclosure,house,2014,122,256
Adore You,Miley Cyrus,dance pop,2014,120,279
Love Never Felt So Good,Michael Jackson,pop,2014,118,246
Burn,Ellie Goulding,dance pop,2014,87,231
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,202
Fancy,Iggy Azalea,australian hip hop,2014,95,200
